emotion,sentence
Other,cho mình xin bài nhạc tên là gì với ạ
Disgust,cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡
Disgust,lo học đi . yêu đương lol gì hay lại thích học sinh học
Enjoyment,uớc gì sau này về già vẫn có thể như cụ này :))
Enjoyment,mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .
Anger,thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết
Other,một lí do trog muôn vàn lí do
Surprise,thật hay đùa ác vậy . không thể tin được
Anger,"ko phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠"
Sadness,per nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa
Enjoyment,công nhận sáng tạo thật đấy
Disgust,đòn tấn công cực gắt và cục sút của anh 😂😂😂
Other,trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3
Enjoyment,minh biết nữa ne
Disgust,mấy thằng củ lol việt nam nhảm nhí :))
Sadness,"tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ , bi ̣ lơ ̉ miê ̣ người"
Other,"bếp dầu , nhiều nhà vẫn dùng"
Other,nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề
Fear,"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai"
Enjoyment,sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁
Anger,"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à"
Disgust,coi video chưa hiểu gì đã làm ầm lên
Enjoyment,chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊
Enjoyment,yêu chết đi được .
Sadness,mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại
Sadness,xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt
Anger,cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt
Fear,từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭
Fear,t gặp quả này thì bỏ xe mà chạy ??
Other,thế con trai là của ai cho
Surprise,per đây mí chính là cụ tổ của những chiếc sừng này
Fear,muốn share về mà sợ bị bạn nè phẫn nộ quá
Sadness,"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂"
Sadness,nay buồn :(((
Fear,"cv không áp lực , môi trường xung quanh mới dễ tạo áp lực"
Enjoyment,ai có link nhạc mấy bài trên không ạ hay vãi ra
Other,đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm
Other,phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .
Sadness,làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải
Enjoyment,khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊
Anger,đéo được tích sự gì 😂
Sadness,haizzz ... thế là chưa có kq gì tốt đẹp cả ..
Sadness,bản thân cố gắng cũng chẳng dễ dàng gì :((
Disgust,"nói chung là 1 lũ lừa gạt thôi , việt nam mình là vậy đó"
Other,thế em ăn cơm chưa ?
Other,"thu trăm tỷ phạt 5tr , lại qua tỉnh khác hành nghề ha ha"
Disgust,chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ
Anger,mày coi chừng có ngày tao dã dô mặt mày như dzầy
Surprise,canh thời gian đăng đúng vãi !
Disgust,quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng
Sadness,học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người
Sadness,mình thi xong còn không khóc được 😢
Enjoyment,"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí"
Sadness,"per trừ điểm , trừ điểm"
Disgust,"5 triệu , phạt một con mụ lừa đảo , phá hủy niềm tin phật giáo , làm ô uế đời sống tâm linh ... thật rẻ rúng làm sao !"
Sadness,cả tuần không được nói chuyện
Anger,per mày cẩn thận tao giết
Disgust,cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑
Other,bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :))
Enjoyment,đẹp trai quá
Anger,đóng cái lồn tao nè chứ đóng
Sadness,"khổ thân người dân , trước dự án cao su là dự án cà phê , làm thêm dự án nữa coi như một đời bỏ phí"
Sadness,"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm 😓"
Enjoyment,hồi nhỏ đọc tao đã nghi nghi rồi =))))))))
Disgust,ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .
Disgust,"con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi , cuộc sống lạ lùng vãi 😕"
