emotion,sentence
Disgust,thằng này bị điên chuẩn mẹ rồi
Disgust,"đây là tây chứ mấy thằng việt nam như này , đảm bảo kêu ngáo đá :vậy"
Enjoyment,ai có link nhạc mấy bài trên không ạ hay vãi ra
Enjoyment,uiiiii hay vì n đổ ra sàn mà n đổ đầy mồm thì pheee
Enjoyment,xem lại quá nhiều lần đến nỗi không nhớ nổi . vì phim quá hay và ý nghĩa .
Enjoyment,bộ phim truyền cảm hứng hay nhất =)
Enjoyment,một cái tết nhiều tiền
Enjoyment,"năm nay mua cân na về nhà ăn dần , tối ra đường xem chúng nó dẫn vợ thằng khác đi chơi ... kaka"
Enjoyment,cười vãi ???????? mặt con bé cũng hài ghê
Enjoyment,hèn dì mấy nay đi học thấy bạn của crush nhìn mình cười
Enjoyment,nhìn đã thật
Enjoyment,per cho vợ đi cầu này để giảm cân nhá 🤣🤣
Enjoyment,t còn được nghỉ 1 tuần :))))
Enjoyment,má nó thú dị thôi rồi 😂😂😂
Enjoyment,hôm qua xem cười lộn ruột
Fear,per nguy hiểm quá mày ơi 😩😩
Sadness,xem xong tao đã khóc rất nhiều
Sadness,chắc phát khóc mất 😭
Anger,loại mất dậy
Anger,"trung thi thì liên quan mẹ gì đến việc có gấu , tao thà ngồi nhà cho khỏe để xem mấy thằng đó dắt vợ của thằng khác đi chơi !!"
Disgust,chết rồi thì chôn . xử lý cái quái gì nữa ...
Disgust,má con đàn bà thối mồm gặp thằng say hèm
Disgust,con đũy ngổng ngáo
Disgust,dm gớm chó thiệt chứ
Disgust,diễn vãi
Enjoyment,vẫn nhớ ngày đầu . lần đầu em có cảm giác được che chở như vậy :)))
Enjoyment,tao thầy mày cười hí hửng vại mà ?
Enjoyment,tao quen rồi 😌
Enjoyment,"học xong cấp 3 , ngoài mừng vì được thoát khỏi đó thì không hề có lưu luyến 1 chút nào :))))))"
Enjoyment,vậy mình xin chúc đk n năm tới không còn cô đơn nữa nha kkkkklk
Enjoyment,một cách bán hàng nta gọi là đẳng cấp
Enjoyment,"phải nói là hài tàu hay thật đấy , luôn li kì và khó đoán kết quả , ý nghĩa thì thâm sau . hihi thích rồi đó"
Fear,tí nữa vợ nó vắt chân lên cổ bò thì hú hồn
Sadness,nhìn thôi đã đau lòng
Sadness,21 năm chưa crush ai thì có gọi là ế thâm niêm không hả các bác
Sadness,nhớ lắm .. cay mắt lắm ....
Sadness,t thấy nó cười hoài mà không bao giờ nó cười với tao cả :((
Sadness,tưởng mai đi họp phụ huynh mới bị u ám . ai ngờ hôm nay mới biết điểm anh 9 . 5 thôi đã u ám rồi :)
Sadness,khổ thân các cháu
Surprise,đẹp trai mà bị đá à =))
Surprise,trời có bạn nhận ra mình luôn à @@
Anger,để con mẹ mày tiếng bình thường nghe cho dễ . lại còn làm đéo đéo
Disgust,dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười
Disgust,ngu thì mới đi vào phủ dầy nhé chứ chợ đâu đến mức như vậy ??????
Disgust,"khiển trách là bị mắng rồi má , lại còn bắt chép phạt ác thật"
Disgust,"mất 1 phút để say mê một người , một giờ để thích một người và một ngày để yêu một người nhưng có thể lại mất một đời để quên đi hình bóng ấy . đấy là câu xạo lol trong ngôn tình thôi chứ tin thế đéo nào được"
Disgust,kinh tởm
Disgust,vl ! người ngoài hành tinh biết nói tiếng anh ! bọn mày lú hết rồi à ? cái quần què gì cũng tin được !
Disgust,xót thì mang về mà dạy đi . xưa đi học suốt ngày bị quỳ chép bài trên bục giảng chả sao giờ thì sểnh ra 1 tỵ là kiện tụng . đừng có lạm dụng mxh mà lên án người khác .
Enjoyment,per xem đi haha
Enjoyment,chúc đại kỷ nguyên có một buổi tối ấm áp nha ❤️
Enjoyment,câu nói quá chuẩn và ý nghĩa 👍
Enjoyment,cảm ơn đoi tình nguyện viên nhớ có các bạn mà người dân bớt vất vả hơn
Enjoyment,may là tao dán kính cường lực
Fear,rớt vô đây chắc chắc khóc tiếng thái lan
Fear,khiếp quá đi tụi con ơi
Sadness,nhiều khi cũng muốn chọc cho người yêu giận nhưng mới nhớ ra mình đéo có người yêu 😌
Sadness,mùa mưa đến sớm rồi huhu
Sadness,"t chẳng muốn phải nói "" suýt nữa thì .."" một lần nào nữa trong đời của nhau nữa đâu ... vì vậy sẽ trân trọng khi người tới ."
Sadness,thất tình đi nghe nhạc chúng nó còn ngồi trước mặt ôm nhau . hận
Surprise,ui mấy ông tướng men nì từ bé luôn nhỉ . đáng yêuc chết được 🥰🥰🥰
Surprise,vậy bỏ tiền mua cái máy tính đó để chi ta ???
Surprise,ae họ mà đéo biết mặt nhau à - _ -
Anger,tôi đập cho toè cái mỏ lun nha
Anger,thằng khốn nạn
Disgust,nước tớ nhiều thành phần hãm lồn thế đấy các bạn ạ . tớ gặp là tớ còn ghét nữa là các bạn nước ngoài
Disgust,ngu thì chết . chẳng biết nó nghĩ sao mà lao vô cướp ngân hàng ... có thằng nào thoát bao giờ đâu . không biết nó có hiểu không 😅😅😅
