emotion,sentence
Negative,thằng này bị điên chuẩn mẹ rồi
Negative,"đây là tây chứ mấy thằng việt nam như này , đảm bảo kêu ngáo đá :vậy"
Positive,ai có link nhạc mấy bài trên không ạ hay vãi ra
Positive,uiiiii hay vì n đổ ra sàn mà n đổ đầy mồm thì pheee
Positive,xem lại quá nhiều lần đến nỗi không nhớ nổi . vì phim quá hay và ý nghĩa .
Positive,bộ phim truyền cảm hứng hay nhất =)
Positive,một cái tết nhiều tiền
Positive,"năm nay mua cân na về nhà ăn dần , tối ra đường xem chúng nó dẫn vợ thằng khác đi chơi ... kaka"
Positive,cười vãi ???????? mặt con bé cũng hài ghê
Positive,hèn dì mấy nay đi học thấy bạn của crush nhìn mình cười
Positive,nhìn đã thật
Positive,per cho vợ đi cầu này để giảm cân nhá 🤣🤣
Positive,t còn được nghỉ 1 tuần :))))
Positive,má nó thú dị thôi rồi 😂😂😂
Positive,hôm qua xem cười lộn ruột
Negative,per nguy hiểm quá mày ơi 😩😩
Negative,xem xong tao đã khóc rất nhiều
Negative,chắc phát khóc mất 😭
Negative,loại mất dậy
Negative,"trung thi thì liên quan mẹ gì đến việc có gấu , tao thà ngồi nhà cho khỏe để xem mấy thằng đó dắt vợ của thằng khác đi chơi !!"
Negative,chết rồi thì chôn . xử lý cái quái gì nữa ...
Negative,má con đàn bà thối mồm gặp thằng say hèm
Negative,con đũy ngổng ngáo
Negative,dm gớm chó thiệt chứ
Negative,diễn vãi
Positive,vẫn nhớ ngày đầu . lần đầu em có cảm giác được che chở như vậy :)))
Positive,tao thầy mày cười hí hửng vại mà ?
Positive,tao quen rồi 😌
Positive,"học xong cấp 3 , ngoài mừng vì được thoát khỏi đó thì không hề có lưu luyến 1 chút nào :))))))"
Positive,vậy mình xin chúc đk n năm tới không còn cô đơn nữa nha kkkkklk
Positive,một cách bán hàng nta gọi là đẳng cấp
Positive,"phải nói là hài tàu hay thật đấy , luôn li kì và khó đoán kết quả , ý nghĩa thì thâm sau . hihi thích rồi đó"
Negative,tí nữa vợ nó vắt chân lên cổ bò thì hú hồn
Negative,nhìn thôi đã đau lòng
Negative,21 năm chưa crush ai thì có gọi là ế thâm niêm không hả các bác
Negative,nhớ lắm .. cay mắt lắm ....
Negative,t thấy nó cười hoài mà không bao giờ nó cười với tao cả :((
Negative,tưởng mai đi họp phụ huynh mới bị u ám . ai ngờ hôm nay mới biết điểm anh 9 . 5 thôi đã u ám rồi :)
Negative,khổ thân các cháu
Neutral,đẹp trai mà bị đá à =))
Neutral,trời có bạn nhận ra mình luôn à @@
Negative,để con mẹ mày tiếng bình thường nghe cho dễ . lại còn làm đéo đéo
Negative,dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười
Negative,ngu thì mới đi vào phủ dầy nhé chứ chợ đâu đến mức như vậy ??????
Negative,"khiển trách là bị mắng rồi má , lại còn bắt chép phạt ác thật"
Negative,"mất 1 phút để say mê một người , một giờ để thích một người và một ngày để yêu một người nhưng có thể lại mất một đời để quên đi hình bóng ấy . đấy là câu xạo lol trong ngôn tình thôi chứ tin thế đéo nào được"
Negative,kinh tởm
Negative,vl ! người ngoài hành tinh biết nói tiếng anh ! bọn mày lú hết rồi à ? cái quần què gì cũng tin được !
Negative,xót thì mang về mà dạy đi . xưa đi học suốt ngày bị quỳ chép bài trên bục giảng chả sao giờ thì sểnh ra 1 tỵ là kiện tụng . đừng có lạm dụng mxh mà lên án người khác .
Positive,per xem đi haha
Positive,chúc đại kỷ nguyên có một buổi tối ấm áp nha ❤️
Positive,câu nói quá chuẩn và ý nghĩa 👍
Positive,cảm ơn đoi tình nguyện viên nhớ có các bạn mà người dân bớt vất vả hơn
Positive,may là tao dán kính cường lực
Negative,rớt vô đây chắc chắc khóc tiếng thái lan
Negative,khiếp quá đi tụi con ơi
Negative,nhiều khi cũng muốn chọc cho người yêu giận nhưng mới nhớ ra mình đéo có người yêu 😌
Negative,mùa mưa đến sớm rồi huhu
Negative,"t chẳng muốn phải nói "" suýt nữa thì .."" một lần nào nữa trong đời của nhau nữa đâu ... vì vậy sẽ trân trọng khi người tới ."
Negative,thất tình đi nghe nhạc chúng nó còn ngồi trước mặt ôm nhau . hận
Neutral,ui mấy ông tướng men nì từ bé luôn nhỉ . đáng yêuc chết được 🥰🥰🥰
Neutral,vậy bỏ tiền mua cái máy tính đó để chi ta ???
Neutral,ae họ mà đéo biết mặt nhau à - _ -
Negative,tôi đập cho toè cái mỏ lun nha
Negative,thằng khốn nạn
Negative,nước tớ nhiều thành phần hãm lồn thế đấy các bạn ạ . tớ gặp là tớ còn ghét nữa là các bạn nước ngoài
Negative,ngu thì chết . chẳng biết nó nghĩ sao mà lao vô cướp ngân hàng ... có thằng nào thoát bao giờ đâu . không biết nó có hiểu không 😅😅😅
Negative,nhân văn ? thế nhân văn ở đâu cho những em học thật thi thật ?
Negative,việc làm và ý thức của những cổ động viên kém quá . mất hình ảnh bóng đá per còn mất 1 tỷ tiền phạt .
Negative,một lũ óc không bằng chó .
Negative,đọc bình luận mới thấy nhiều người hãm thật sự :)))
Positive,hay lắm :)))
Positive,thông minh hơi muộn nhưng vẫn kịp thông minh !
Positive,cưng quá trời luôn
Positive,dăm ba con nhện nghĩ tao sợ (((=
Positive,bô ̣ phim khiến bọn sinh viên có lí do để lười học theo li ́ thuyết là đây 😆
Negative,"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng"
Negative,biết là đau lòng nhưng sao bản thân vẫn muốn biết nó
Negative,có những ngày làm tới đâu là sai tới đó :)) muốn tát vào mặt hết sức
Negative,chủ thớt sấp mặt rồi
Negative,và rồi cô ấy sẽ mãi mãi không có người yêu =((
Negative,ước mơ nhỏ nhoi của tao là được làm chị mà không thể nào làm được huhu
Neutral,nhằm ngày sinh nhật luôn trời ..😂
Negative,"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc"
Negative,cay vãi lồn
